Category,Motivation,clean
literature,"""for an œuvre of universal validity bitter insights and linguistic ingenuity which has opened new paths for the Chinese novel and drama""",for an œuvre of universal validity bitter insights and linguistic ingenuity which has opened new paths for the chinese novel and drama
economics,"""for his development of theory and methods for analyzing discrete choice""",for his development of theory and methods for analyzing discrete choice
economics,"""for his development of theory and methods for analyzing selective samples""",for his development of theory and methods for analyzing selective samples
chemistry,"""for the discovery and development of conductive polymers""",for the discovery and development of conductive polymers
chemistry,"""for the discovery and development of conductive polymers""",for the discovery and development of conductive polymers
medicine,"""for their discoveries concerning signal transduction in the nervous system""",for their discoveries concerning signal transduction in the nervous system
physics,"""for developing semiconductor heterostructures used in high-speed- and opto-electronics""",for developing semiconductor heterostructures used in highspeed and optoelectronics
physics,"""for developing semiconductor heterostructures used in high-speed- and opto-electronics""",for developing semiconductor heterostructures used in highspeed and optoelectronics
peace,"""for his work for democracy and human rights in South Korea and in East Asia in general and for peace and reconciliation with North Korea in particular""",for his work for democracy and human rights in south korea and in east asia in general and for peace and reconciliation with north korea in particular
medicine,"""for their discoveries concerning signal transduction in the nervous system""",for their discoveries concerning signal transduction in the nervous system
medicine,"""for their discoveries concerning signal transduction in the nervous system""",for their discoveries concerning signal transduction in the nervous system
physics,"""for his part in the invention of the integrated circuit""",for his part in the invention of the integrated circuit
economics,"""for their analyses of markets with asymmetric information""",for their analyses of markets with asymmetric information
peace,"""for their work for a better organized and more peaceful world""",for their work for a better organized and more peaceful world
peace,"""for their work for a better organized and more peaceful world""",for their work for a better organized and more peaceful world
literature,"""for having united perceptive narrative and incorruptible scrutiny in works that compel us to see the presence of suppressed histories""",for having united perceptive narrative and incorruptible scrutiny in works that compel us to see the presence of suppressed histories
economics,"""for their analyses of markets with asymmetric information""",for their analyses of markets with asymmetric information
economics,"""for their analyses of markets with asymmetric information""",for their analyses of markets with asymmetric information
chemistry,"""for his work on chirally catalysed oxidation reactions""",for his work on chirally catalysed oxidation reactions
chemistry,"""for the development of click chemistry and bioorthogonal chemistry""",for the development of click chemistry and bioorthogonal chemistry
chemistry,"""for their work on chirally catalysed hydrogenation reactions""",for their work on chirally catalysed hydrogenation reactions
chemistry,"""for their work on chirally catalysed hydrogenation reactions""",for their work on chirally catalysed hydrogenation reactions
physics,"""for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms and for early fundamental studies of the properties of the condensates""",for the achievement of boseeinstein condensation in dilute gases of alkali atoms and for early fundamental studies of the properties of the condensates
physics,"""for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms and for early fundamental studies of the properties of the condensates""",for the achievement of boseeinstein condensation in dilute gases of alkali atoms and for early fundamental studies of the properties of the condensates
physics,"""for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms and for early fundamental studies of the properties of the condensates""",for the achievement of boseeinstein condensation in dilute gases of alkali atoms and for early fundamental studies of the properties of the condensates
medicine,"""for their discoveries of key regulators of the cell cycle""",for their discoveries of key regulators of the cell cycle
medicine,"""for their discoveries of key regulators of the cell cycle""",for their discoveries of key regulators of the cell cycle
medicine,"""for their discoveries of key regulators of the cell cycle""",for their discoveries of key regulators of the cell cycle
peace,"""for his decades of untiring effort to find peaceful solutions to international conflicts to advance democracy and human rights and to promote economic and social development""",for his decades of untiring effort to find peaceful solutions to international conflicts to advance democracy and human rights and to promote economic and social development
literature,"""for writing that upholds the fragile experience of the individual against the barbaric arbitrariness of history""",for writing that upholds the fragile experience of the individual against the barbaric arbitrariness of history
economics,"""for having integrated insights from psychological research into economic science especially concerning human judgment and decision-making under uncertainty""",for having integrated insights from psychological research into economic science especially concerning human judgment and decisionmaking under uncertainty
chemistry,"""for his development of nuclear magnetic resonance spectroscopy for determining the three-dimensional structure of biological macromolecules in solution""",for his development of nuclear magnetic resonance spectroscopy for determining the threedimensional structure of biological macromolecules in solution
chemistry,"""for their development of soft desorption ionisation methods for mass spectrometric analyses of biological macromolecules""",for their development of soft desorption ionisation methods for mass spectrometric analyses of biological macromolecules
chemistry,"""for their development of soft desorption ionisation methods for mass spectrometric analyses of biological macromolecules""",for their development of soft desorption ionisation methods for mass spectrometric analyses of biological macromolecules
economics,"""for having established laboratory experiments as a tool in empirical economic analysis especially in the study of alternative market mechanisms""",for having established laboratory experiments as a tool in empirical economic analysis especially in the study of alternative market mechanisms
physics,"""for pioneering contributions to astrophysics in particular for the detection of cosmic neutrinos""",for pioneering contributions to astrophysics in particular for the detection of cosmic neutrinos
physics,"""for pioneering contributions to astrophysics in particular for the detection of cosmic neutrinos""",for pioneering contributions to astrophysics in particular for the detection of cosmic neutrinos
medicine,"""for their discoveries concerning genetic regulation of organ development and programmed cell death'""",for their discoveries concerning genetic regulation of organ development and programmed cell death
medicine,"""for their discoveries concerning genetic regulation of organ development and programmed cell death'""",for their discoveries concerning genetic regulation of organ development and programmed cell death
medicine,"""for their discoveries concerning genetic regulation of organ development and programmed cell death'""",for their discoveries concerning genetic regulation of organ development and programmed cell death
physics,"""for pioneering contributions to astrophysics which have led to the discovery of cosmic X-ray sources""",for pioneering contributions to astrophysics which have led to the discovery of cosmic xray sources
peace,"""for her efforts for democracy and human rights. She has focused especially on the struggle for the rights of women and children""",for her efforts for democracy and human rights she has focused especially on the struggle for the rights of women and children
economics,"""for methods of analyzing economic time series with common trends (cointegration)""",for methods of analyzing economic time series with common trends cointegration
economics,"""for methods of analyzing economic time series with time-varying volatility (ARCH)""",for methods of analyzing economic time series with timevarying volatility arch
chemistry,"""for structural and mechanistic studies of ion channels""",for structural and mechanistic studies of ion channels
chemistry,"""for the discovery of water channels""",for the discovery of water channels
physics,"""for pioneering contributions to the theory of superconductors and superfluids""",for pioneering contributions to the theory of superconductors and superfluids
physics,"""for pioneering contributions to the theory of superconductors and superfluids""",for pioneering contributions to the theory of superconductors and superfluids
medicine,"""for their discoveries concerning magnetic resonance imaging""",for their discoveries concerning magnetic resonance imaging
medicine,"""for their discoveries concerning magnetic resonance imaging""",for their discoveries concerning magnetic resonance imaging
literature,"""who in innumerable guises portrays the surprising involvement of the outsider""",who in innumerable guises portrays the surprising involvement of the outsider
physics,"""for pioneering contributions to the theory of superconductors and superfluids""",for pioneering contributions to the theory of superconductors and superfluids
economics,"""for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles""",for their contributions to dynamic macroeconomics the time consistency of economic policy and the driving forces behind business cycles
chemistry,"""for the discovery of ubiquitin-mediated protein degradation""",for the discovery of ubiquitinmediated protein degradation
economics,"""for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles""",for their contributions to dynamic macroeconomics the time consistency of economic policy and the driving forces behind business cycles
peace,"""for her contribution to sustainable development democracy and peace""",for her contribution to sustainable development democracy and peace
literature,"""for her musical flow of voices and counter-voices in novels and plays that with extraordinary linguistic zeal reveal the absurdity of society's clich&eacute;s and their subjugating power""",for her musical flow of voices and countervoices in novels and plays that with extraordinary linguistic zeal reveal the absurdity of societys clicheacutes and their subjugating power
chemistry,"""for the discovery of ubiquitin-mediated protein degradation""",for the discovery of ubiquitinmediated protein degradation
physics,"""for the discovery of asymptotic freedom in the theory of the strong interaction""",for the discovery of asymptotic freedom in the theory of the strong interaction
physics,"""for the discovery of asymptotic freedom in the theory of the strong interaction""",for the discovery of asymptotic freedom in the theory of the strong interaction
physics,"""for the discovery of asymptotic freedom in the theory of the strong interaction""",for the discovery of asymptotic freedom in the theory of the strong interaction
medicine,"""for their discoveries of odorant receptors and the organization of the olfactory system""",for their discoveries of odorant receptors and the organization of the olfactory system
medicine,"""for their discoveries of odorant receptors and the organization of the olfactory system""",for their discoveries of odorant receptors and the organization of the olfactory system
chemistry,"""for the discovery of ubiquitin-mediated protein degradation""",for the discovery of ubiquitinmediated protein degradation
literature,"""who in his plays uncovers the precipice under everyday prattle and forces entry into oppression's closed rooms""",who in his plays uncovers the precipice under everyday prattle and forces entry into oppressions closed rooms
economics,"""for having enhanced our understanding of conflict and cooperation through game-theory analysis""",for having enhanced our understanding of conflict and cooperation through gametheory analysis
peace,"""for their efforts to prevent nuclear energy from being used for military purposes and to ensure that nuclear energy for peaceful purposes is used in the safest possible way""",for their efforts to prevent nuclear energy from being used for military purposes and to ensure that nuclear energy for peaceful purposes is used in the safest possible way
peace,"""for their efforts to prevent nuclear energy from being used for military purposes and to ensure that nuclear energy for peaceful purposes is used in the safest possible way""",for their efforts to prevent nuclear energy from being used for military purposes and to ensure that nuclear energy for peaceful purposes is used in the safest possible way
chemistry,"""for the development of the metathesis method in organic synthesis""",for the development of the metathesis method in organic synthesis
chemistry,"""for the development of the metathesis method in organic synthesis""",for the development of the metathesis method in organic synthesis
economics,"""for having enhanced our understanding of conflict and cooperation through game-theory analysis""",for having enhanced our understanding of conflict and cooperation through gametheory analysis
physics,"""for their contributions to the development of laser-based precision spectroscopy including the optical frequency comb technique""",for their contributions to the development of laserbased precision spectroscopy including the optical frequency comb technique
physics,"""for their contributions to the development of laser-based precision spectroscopy including the optical frequency comb technique""",for their contributions to the development of laserbased precision spectroscopy including the optical frequency comb technique
physics,"""for his contribution to the quantum theory of optical coherence""",for his contribution to the quantum theory of optical coherence
medicine,"""for their discovery of the bacterium <i>Helicobacter pylori</i> and its role in gastritis and peptic ulcer disease""",for their discovery of the bacterium ihelicobacter pylorii and its role in gastritis and peptic ulcer disease
medicine,"""for their discovery of the bacterium <i>Helicobacter pylori</i> and its role in gastritis and peptic ulcer disease""",for their discovery of the bacterium ihelicobacter pylorii and its role in gastritis and peptic ulcer disease
chemistry,"""for the development of the metathesis method in organic synthesis""",for the development of the metathesis method in organic synthesis
peace,"""for their efforts to create economic and social development from below""",for their efforts to create economic and social development from below
peace,"""for their efforts to create economic and social development from below""",for their efforts to create economic and social development from below
literature,"""who in the quest for the melancholic soul of his native city has discovered new symbols for the clash and interlacing of cultures""",who in the quest for the melancholic soul of his native city has discovered new symbols for the clash and interlacing of cultures
economics,"""for his analysis of intertemporal tradeoffs in macroeconomic policy""",for his analysis of intertemporal tradeoffs in macroeconomic policy
chemistry,"""for his studies of the molecular basis of eukaryotic transcription""",for his studies of the molecular basis of eukaryotic transcription
physics,"""for their discovery of the blackbody form and anisotropy of the cosmic microwave background radiation""",for their discovery of the blackbody form and anisotropy of the cosmic microwave background radiation
medicine,"""for their discovery of RNA interference - gene silencing by double-stranded RNA""",for their discovery of rna interference gene silencing by doublestranded rna
medicine,"""for their discovery of RNA interference - gene silencing by double-stranded RNA""",for their discovery of rna interference gene silencing by doublestranded rna
physics,"""for their discovery of the blackbody form and anisotropy of the cosmic microwave background radiation""",for their discovery of the blackbody form and anisotropy of the cosmic microwave background radiation
economics,"""for having laid the foundations of mechanism design theory""",for having laid the foundations of mechanism design theory
economics,"""for having laid the foundations of mechanism design theory""",for having laid the foundations of mechanism design theory
economics,"""for having laid the foundations of mechanism design theory""",for having laid the foundations of mechanism design theory
peace,"""for their efforts to build up and disseminate greater knowledge about man-made climate change and to lay the foundations for the measures that are needed to counteract such change""",for their efforts to build up and disseminate greater knowledge about manmade climate change and to lay the foundations for the measures that are needed to counteract such change
peace,"""for their efforts to build up and disseminate greater knowledge about man-made climate change and to lay the foundations for the measures that are needed to counteract such change""",for their efforts to build up and disseminate greater knowledge about manmade climate change and to lay the foundations for the measures that are needed to counteract such change
chemistry,"""for his studies of chemical processes on solid surfaces""",for his studies of chemical processes on solid surfaces
literature,"""that epicist of the female experience who with scepticism fire and visionary power has subjected a divided civilisation to scrutiny""",that epicist of the female experience who with scepticism fire and visionary power has subjected a divided civilisation to scrutiny
physics,"""for the discovery of Giant Magnetoresistance""",for the discovery of giant magnetoresistance
medicine,"""for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells""",for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells
medicine,"""for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells""",for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells
medicine,"""for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells""",for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells
physics,"""for the discovery of Giant Magnetoresistance""",for the discovery of giant magnetoresistance
peace,"""for his important efforts on several continents and over more than three decades to resolve international conflicts""",for his important efforts on several continents and over more than three decades to resolve international conflicts
literature,"""author of new departures poetic adventure and sensual ecstasy explorer of a humanity beyond and below the reigning civilization""",author of new departures poetic adventure and sensual ecstasy explorer of a humanity beyond and below the reigning civilization
chemistry,"""for the discovery and development of the green fluorescent protein GFP""",for the discovery and development of the green fluorescent protein gfp
chemistry,"""for the discovery and development of the green fluorescent protein GFP""",for the discovery and development of the green fluorescent protein gfp
chemistry,"""for the discovery and development of the green fluorescent protein GFP""",for the discovery and development of the green fluorescent protein gfp
physics,"""for the discovery of the origin of the broken symmetry which predicts the existence of at least three families of quarks in nature""",for the discovery of the origin of the broken symmetry which predicts the existence of at least three families of quarks in nature
economics,"""for his analysis of trade patterns and location of economic activity""",for his analysis of trade patterns and location of economic activity
physics,"""for the discovery of the mechanism of spontaneous broken symmetry in subatomic physics""",for the discovery of the mechanism of spontaneous broken symmetry in subatomic physics
medicine,"""for their discovery of human immunodeficiency virus""",for their discovery of human immunodeficiency virus
medicine,"""for their discovery of human immunodeficiency virus""",for their discovery of human immunodeficiency virus
medicine,"""for his discovery of human papilloma viruses causing cervical cancer""",for his discovery of human papilloma viruses causing cervical cancer
physics,"""for the discovery of the origin of the broken symmetry which predicts the existence of at least three families of quarks in nature""",for the discovery of the origin of the broken symmetry which predicts the existence of at least three families of quarks in nature
economics,"""for his analysis of economic governance especially the boundaries of the firm""",for his analysis of economic governance especially the boundaries of the firm
economics,"""for her analysis of economic governance especially the commons""",for her analysis of economic governance especially the commons
peace,"""for his extraordinary efforts to strengthen international diplomacy and cooperation between peoples""",for his extraordinary efforts to strengthen international diplomacy and cooperation between peoples
literature,"""who with the concentration of poetry and the frankness of prose depicts the landscape of the dispossessed""",who with the concentration of poetry and the frankness of prose depicts the landscape of the dispossessed
chemistry,"""for studies of the structure and function of the ribosome""",for studies of the structure and function of the ribosome
chemistry,"""for studies of the structure and function of the ribosome""",for studies of the structure and function of the ribosome
chemistry,"""for studies of the structure and function of the ribosome""",for studies of the structure and function of the ribosome
physics,"""for the invention of an imaging semiconductor circuit - the CCD sensor""",for the invention of an imaging semiconductor circuit the ccd sensor
physics,"""for groundbreaking achievements concerning the transmission of light in fibers for optical communication""",for groundbreaking achievements concerning the transmission of light in fibers for optical communication
medicine,"""for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase""",for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase
medicine,"""for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase""",for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase
medicine,"""for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase""",for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase
physics,"""for the invention of an imaging semiconductor circuit - the CCD sensor""",for the invention of an imaging semiconductor circuit the ccd sensor
economics,"""for their analysis of markets with search frictions""",for their analysis of markets with search frictions
literature,"""for his cartography of structures of power and his trenchant images of the individual's resistance revolt and defeat""",for his cartography of structures of power and his trenchant images of the individuals resistance revolt and defeat
economics,"""for their analysis of markets with search frictions""",for their analysis of markets with search frictions
peace,"""for his long and non-violent struggle for fundamental human rights in China""",for his long and nonviolent struggle for fundamental human rights in china
chemistry,"""for palladium-catalyzed cross couplings in organic synthesis""",for palladiumcatalyzed cross couplings in organic synthesis
economics,"""for their analysis of markets with search frictions""",for their analysis of markets with search frictions
chemistry,"""for palladium-catalyzed cross couplings in organic synthesis""",for palladiumcatalyzed cross couplings in organic synthesis
physics,"""for groundbreaking experiments regarding the two-dimensional material graphene""",for groundbreaking experiments regarding the twodimensional material graphene
physics,"""for groundbreaking experiments regarding the two-dimensional material graphene""",for groundbreaking experiments regarding the twodimensional material graphene
medicine,"""for the development of in vitro fertilization""",for the development of in vitro fertilization
chemistry,"""for palladium-catalyzed cross couplings in organic synthesis""",for palladiumcatalyzed cross couplings in organic synthesis
economics,"""for their empirical research on cause and effect in the macroeconomy""",for their empirical research on cause and effect in the macroeconomy
peace,"""for their non-violent struggle for the safety of women and for women's rights to full participation in peace-building work""",for their nonviolent struggle for the safety of women and for womens rights to full participation in peacebuilding work
peace,"""for their non-violent struggle for the safety of women and for women's rights to full participation in peace-building work""",for their nonviolent struggle for the safety of women and for womens rights to full participation in peacebuilding work
peace,"""for their non-violent struggle for the safety of women and for women's rights to full participation in peace-building work""",for their nonviolent struggle for the safety of women and for womens rights to full participation in peacebuilding work
literature,"""because through his condensed translucent images he gives us fresh access to reality""",because through his condensed translucent images he gives us fresh access to reality
chemistry,"""for the discovery of quasicrystals""",for the discovery of quasicrystals
economics,"""for their empirical research on cause and effect in the macroeconomy""",for their empirical research on cause and effect in the macroeconomy
physics,"""for the discovery of the accelerating expansion of the Universe through observations of distant supernovae""",for the discovery of the accelerating expansion of the universe through observations of distant supernovae
physics,"""for the discovery of the accelerating expansion of the Universe through observations of distant supernovae""",for the discovery of the accelerating expansion of the universe through observations of distant supernovae
medicine,"""for his discovery of the dendritic cell and its role in adaptive immunity""",for his discovery of the dendritic cell and its role in adaptive immunity
medicine,"""for their discoveries concerning the activation of innate immunity""",for their discoveries concerning the activation of innate immunity
medicine,"""for their discoveries concerning the activation of innate immunity""",for their discoveries concerning the activation of innate immunity
physics,"""for the discovery of the accelerating expansion of the Universe through observations of distant supernovae""",for the discovery of the accelerating expansion of the universe through observations of distant supernovae
economics,"""for the theory of stable allocations and the practice of market design""",for the theory of stable allocations and the practice of market design
economics,"""for the theory of stable allocations and the practice of market design""",for the theory of stable allocations and the practice of market design
peace,"""for over six decades contributed to the advancement of peace and reconciliation democracy and human rights in Europe""",for over six decades contributed to the advancement of peace and reconciliation democracy and human rights in europe
literature,"""who with hallucinatory realism merges folk tales history and the contemporary""",who with hallucinatory realism merges folk tales history and the contemporary
chemistry,"""for studies of G-protein-coupled receptors""",for studies of gproteincoupled receptors
chemistry,"""for studies of G-protein-coupled receptors""",for studies of gproteincoupled receptors
physics,"""for ground-breaking experimental methods that enable measuring and manipulation of individual quantum systems""",for groundbreaking experimental methods that enable measuring and manipulation of individual quantum systems
medicine,"""for the discovery that mature cells can be reprogrammed to become pluripotent""",for the discovery that mature cells can be reprogrammed to become pluripotent
medicine,"""for the discovery that mature cells can be reprogrammed to become pluripotent""",for the discovery that mature cells can be reprogrammed to become pluripotent
physics,"""for ground-breaking experimental methods that enable measuring and manipulation of individual quantum systems""",for groundbreaking experimental methods that enable measuring and manipulation of individual quantum systems
economics,"""for their empirical analysis of asset prices""",for their empirical analysis of asset prices
chemistry,"""for the development of multiscale models for complex chemical systems""",for the development of multiscale models for complex chemical systems
economics,"""for their empirical analysis of asset prices""",for their empirical analysis of asset prices
economics,"""for their empirical analysis of asset prices""",for their empirical analysis of asset prices
peace,"""for its extensive efforts to eliminate chemical weapons""",for its extensive efforts to eliminate chemical weapons
literature,"""master of the contemporary short story""",master of the contemporary short story
chemistry,"""for the development of multiscale models for complex chemical systems""",for the development of multiscale models for complex chemical systems
chemistry,"""for the development of multiscale models for complex chemical systems""",for the development of multiscale models for complex chemical systems
physics,"""for the theoretical discovery of a mechanism that contributes to our understanding of the origin of mass of subatomic particles and which recently was confirmed through the discovery of the predicted fundamental particle by the ATLAS and CMS experiments at CERN's Large Hadron Collider""",for the theoretical discovery of a mechanism that contributes to our understanding of the origin of mass of subatomic particles and which recently was confirmed through the discovery of the predicted fundamental particle by the atlas and cms experiments at cerns large hadron collider
physics,"""for the theoretical discovery of a mechanism that contributes to our understanding of the origin of mass of subatomic particles and which recently was confirmed through the discovery of the predicted fundamental particle by the ATLAS and CMS experiments at CERN's Large Hadron Collider""",for the theoretical discovery of a mechanism that contributes to our understanding of the origin of mass of subatomic particles and which recently was confirmed through the discovery of the predicted fundamental particle by the atlas and cms experiments at cerns large hadron collider
medicine,"""for their discoveries of machinery regulating vesicle traffic a major transport system in our cells""",for their discoveries of machinery regulating vesicle traffic a major transport system in our cells
medicine,"""for their discoveries of machinery regulating vesicle traffic a major transport system in our cells""",for their discoveries of machinery regulating vesicle traffic a major transport system in our cells
medicine,"""for their discoveries of machinery regulating vesicle traffic a major transport system in our cells""",for their discoveries of machinery regulating vesicle traffic a major transport system in our cells
economics,"""for his analysis of market power and regulation""",for his analysis of market power and regulation
peace,"""for their struggle against the suppression of children and young people and for the right of all children to education""",for their struggle against the suppression of children and young people and for the right of all children to education
literature,"""for the art of memory with which he has evoked the most ungraspable human destinies and
uncovered the life-world of the occupation""",for the art of memory with which he has evoked the most ungraspable human destinies and uncovered the lifeworld of the occupation
chemistry,"""for the development of super-resolved fluorescence microscopy""",for the development of superresolved fluorescence microscopy
chemistry,"""for the development of super-resolved fluorescence microscopy""",for the development of superresolved fluorescence microscopy
chemistry,"""for the development of super-resolved fluorescence microscopy""",for the development of superresolved fluorescence microscopy
peace,"""for their struggle against the suppression of children and young people and for the right of all children to education""",for their struggle against the suppression of children and young people and for the right of all children to education
physics,"""for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources""",for the invention of efficient blue lightemitting diodes which has enabled bright and energysaving white light sources
physics,"""for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources""",for the invention of efficient blue lightemitting diodes which has enabled bright and energysaving white light sources
medicine,"""for their discoveries of cells that constitute a positioning system in the brain""",for their discoveries of cells that constitute a positioning system in the brain
medicine,"""for their discoveries of cells that constitute a positioning system in the brain""",for their discoveries of cells that constitute a positioning system in the brain
medicine,"""for their discoveries of cells that constitute a positioning system in the brain""",for their discoveries of cells that constitute a positioning system in the brain
physics,"""for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources""",for the invention of efficient blue lightemitting diodes which has enabled bright and energysaving white light sources
economics,"""for his analysis of consumption poverty and welfare""",for his analysis of consumption poverty and welfare
peace,"""for its decisive contribution to the building of a pluralistic democracy in Tunisia in the wake of the Jasmine Revolution of 2011""",for its decisive contribution to the building of a pluralistic democracy in tunisia in the wake of the jasmine revolution of 2011
literature,"""for her polyphonic writings a monument to suffering and courage in our time""",for her polyphonic writings a monument to suffering and courage in our time
chemistry,"""for mechanistic studies of DNA repair""",for mechanistic studies of dna repair
chemistry,"""for mechanistic studies of DNA repair""",for mechanistic studies of dna repair
chemistry,"""for mechanistic studies of DNA repair""",for mechanistic studies of dna repair
physics,"""for the discovery of neutrino oscillations which shows that neutrinos have mass""",for the discovery of neutrino oscillations which shows that neutrinos have mass
medicine,"""for her discoveries concerning a novel therapy against Malaria""",for her discoveries concerning a novel therapy against malaria
medicine,"""for their discoveries concerning a novel therapy against infections caused by roundworm parasites""",for their discoveries concerning a novel therapy against infections caused by roundworm parasites
medicine,"""for their discoveries concerning a novel therapy against infections caused by roundworm parasites""",for their discoveries concerning a novel therapy against infections caused by roundworm parasites
physics,"""for the discovery of neutrino oscillations which shows that neutrinos have mass""",for the discovery of neutrino oscillations which shows that neutrinos have mass
economics,"""for their contributions to contract theory""",for their contributions to contract theory
chemistry,"""for the design and synthesis of molecular machines""",for the design and synthesis of molecular machines
economics,"""for their contributions to contract theory""",for their contributions to contract theory
peace,"""for his resolute efforts to bring the country's more than 50-year-long civil war to an end""",for his resolute efforts to bring the countrys more than 50yearlong civil war to an end
chemistry,"""for the design and synthesis of molecular machines""",for the design and synthesis of molecular machines
literature,"""for having created new poetic expressions within the great American song tradition""",for having created new poetic expressions within the great american song tradition
physics,"""for theoretical discoveries of topological phase transitions and topological phases of matter""",for theoretical discoveries of topological phase transitions and topological phases of matter
physics,"""for theoretical discoveries of topological phase transitions and topological phases of matter""",for theoretical discoveries of topological phase transitions and topological phases of matter
physics,"""for theoretical discoveries of topological phase transitions and topological phases of matter""",for theoretical discoveries of topological phase transitions and topological phases of matter
medicine,"""for his discoveries of mechanisms for autophagy""",for his discoveries of mechanisms for autophagy
chemistry,"""for the design and synthesis of molecular machines""",for the design and synthesis of molecular machines
peace,"""for its work to draw attention to the catastrophic humanitarian consequences of any use of nuclear weapons and for its ground-breaking efforts to achieve a treaty-based prohibition of such weapons""",for its work to draw attention to the catastrophic humanitarian consequences of any use of nuclear weapons and for its groundbreaking efforts to achieve a treatybased prohibition of such weapons
literature,"""who in novels of great emotional force has uncovered the abyss beneath our illusory sense of connection with the world""",who in novels of great emotional force has uncovered the abyss beneath our illusory sense of connection with the world
chemistry,"""for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution""",for developing cryoelectron microscopy for the highresolution structure determination of biomolecules in solution
chemistry,"""for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution""",for developing cryoelectron microscopy for the highresolution structure determination of biomolecules in solution
chemistry,"""for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution""",for developing cryoelectron microscopy for the highresolution structure determination of biomolecules in solution
physics,"""for decisive contributions to the LIGO detector and the observation of gravitational waves""",for decisive contributions to the ligo detector and the observation of gravitational waves
economics,"""for his contributions to behavioural economics""",for his contributions to behavioural economics
physics,"""for decisive contributions to the LIGO detector and the observation of gravitational waves""",for decisive contributions to the ligo detector and the observation of gravitational waves
medicine,"""for their discoveries of molecular mechanisms controlling the circadian rhythm""",for their discoveries of molecular mechanisms controlling the circadian rhythm
medicine,"""for their discoveries of molecular mechanisms controlling the circadian rhythm""",for their discoveries of molecular mechanisms controlling the circadian rhythm
medicine,"""for their discoveries of molecular mechanisms controlling the circadian rhythm""",for their discoveries of molecular mechanisms controlling the circadian rhythm
physics,"""for decisive contributions to the LIGO detector and the observation of gravitational waves""",for decisive contributions to the ligo detector and the observation of gravitational waves
literature,"""for a narrative imagination that with encyclopedic passion represents the crossing of boundaries as a form of life""",for a narrative imagination that with encyclopedic passion represents the crossing of boundaries as a form of life
economics,"""for integrating technological innovations into long-run macroeconomic analysis""",for integrating technological innovations into longrun macroeconomic analysis
economics,"""for integrating climate change into long-run macroeconomic analysis""",for integrating climate change into longrun macroeconomic analysis
peace,"""for their efforts to end the use of sexual violence as a weapon of war and armed conflict""",for their efforts to end the use of sexual violence as a weapon of war and armed conflict
peace,"""for their efforts to end the use of sexual violence as a weapon of war and armed conflict""",for their efforts to end the use of sexual violence as a weapon of war and armed conflict
chemistry,"""for the phage display of peptides and antibodies""",for the phage display of peptides and antibodies
chemistry,"""for the phage display of peptides and antibodies""",for the phage display of peptides and antibodies
chemistry,"""for the directed evolution of enzymes""",for the directed evolution of enzymes
physics,"""for their method of generating high-intensity ultra-short optical pulses""",for their method of generating highintensity ultrashort optical pulses
physics,"""for the optical tweezers and their application to biological systems""",for the optical tweezers and their application to biological systems
medicine,"""for their discovery of cancer therapy by inhibition of negative immune regulation""",for their discovery of cancer therapy by inhibition of negative immune regulation
medicine,"""for their discovery of cancer therapy by inhibition of negative immune regulation""",for their discovery of cancer therapy by inhibition of negative immune regulation
physics,"""for their method of generating high-intensity ultra-short optical pulses""",for their method of generating highintensity ultrashort optical pulses
chemistry,"""for the development of lithium-ion batteries""",for the development of lithiumion batteries
economics,"""for their experimental approach to alleviating global poverty""",for their experimental approach to alleviating global poverty
economics,"""for their experimental approach to alleviating global poverty""",for their experimental approach to alleviating global poverty
literature,"""for an influential work that with linguistic ingenuity has explored the periphery and the specificity of human experience""",for an influential work that with linguistic ingenuity has explored the periphery and the specificity of human experience
economics,"""for their experimental approach to alleviating global poverty""",for their experimental approach to alleviating global poverty
chemistry,"""for the development of lithium-ion batteries""",for the development of lithiumion batteries
peace,"""for his efforts to achieve peace and international cooperation and in particular for his decisive initiative to resolve the border conflict with neighbouring Eritrea""",for his efforts to achieve peace and international cooperation and in particular for his decisive initiative to resolve the border conflict with neighbouring eritrea
